Date,Symbol,Market,Open,High,Low,Close,Volume,Value
2026-07-24,2P,XRS1,1.05,1.05,1.03,1.05,6303,6492.28
2026-07-24,AAB,XRS1,4.0,4.0,3.8,3.8,3868,14827.18
2026-07-24,AAG,REGS,4.1,4.1,4.03,4.1,822,3335.33
2026-07-24,ABG29E,EXRB,100.2,100.2,100.2,100.2,5,2645.6
2026-07-24,ADS,XRSI,876.0,900.4,876.0,900.4,7,6254.0
2026-07-24,AG,XRS1,1.56,1.59,1.55,1.585,16247,25271.785
2026-07-24,AGR28,XRB,100.01,100.01,100.01,100.01,6,618.81
2026-07-24,ALDANI,XRS1,1.42,1.75,1.42,1.75,15,22.95
2026-07-24,ALR,REGS,1.425,1.45,1.41,1.41,36198,51416.565
2026-07-24,ALT,REGS,0.0695,0.074,0.0685,0.0685,30622,2119.2995
2026-07-24,ALU,REGS,2.6,2.64,2.6,2.64,6718,17696.53
2026-07-24,ALW,XRS1,25.5,25.5,25.0,25.0,894,22382.5
2026-07-24,AMAL,XRS1,0.0455,0.0455,0.0455,0.0455,12,0.546
2026-07-24,AQ,REGS,1.785,1.8,1.775,1.795,244620,437037.305
2026-07-24,ARCV,XRS1,0.144,0.149,0.144,0.149,1011,145.639
2026-07-24,ARJI,XRS1,43.8,43.8,43.8,43.8,7,306.6
2026-07-24,ARO,XRS1,2.12,2.12,1.8,1.98,1574,2924.34
2026-07-24,AROBS,REGS,0.746,0.758,0.738,0.744,532189,398789.17
2026-07-24,ARS,REGS,15.85,17.7,15.8,17.7,38209,658701.35
2026-07-24,ARTE,REGS,9.3,9.3,8.0,9.15,1380,12192.3
2026-07-24,ASC,XRS1,12.25,12.6,12.25,12.3,1808,22269.6
2026-07-24,ASC27,XRB,100.05,100.05,100.05,100.05,3,312.31
2026-07-24,ASP,XRS1,0.0205,0.0215,0.018,0.0215,610500,11173.0595
2026-07-24,AST,XRS1,21.3,21.3,21.3,21.3,93,1980.9
2026-07-24,ATB,REGS,2.16,2.18,2.13,2.14,86455,185414.5
2026-07-24,ATRD,XRS1,45.0,45.6,45.0,45.0,183,8272.8
2026-07-24,AVIO,XRS1,2.59,2.59,2.57,2.57,5,12.87
2026-07-24,BAYN,XRSI,239.9,239.9,239.9,239.9,3,719.7
2026-07-24,BBGA,XRS1,1.54,2.44,1.54,2.44,106,168.64
2026-07-24,BCM,REGS,0.139,0.148,0.139,0.148,4596,638.853
2026-07-24,BENTO,XRS1,8.3,8.56,8.3,8.56,6803,57490.48
2026-07-24,BIO,REGS,1.345,1.345,1.325,1.345,31963,42590.0
2026-07-24,BIOW,XRS1,0.078,0.078,0.078,0.078,163,12.714
2026-07-24,BKAURTL29,RGSP,8.76,8.84,8.76,8.84,35,306.99
2026-07-24,BKAURTL31,RGSP,28.87,29.69,28.87,29.69,344,10020.76
2026-07-24,BKAURTL32,RGSP,2.24,2.41,2.24,2.41,5131,11854.27
2026-07-24,BKAURTS34,RGSP,20.1,20.1,20.1,20.1,15,301.5
2026-07-24,BKAURTS36,RGSP,51.93,51.93,51.36,51.36,17,878.82
2026-07-24,BKBETETF,REGS,43.855,43.855,43.575,43.575,63,2747.695
2026-07-24,BKDOWTLG2,RGSP,5.49,5.49,5.48,5.48,2000,10970.0
2026-07-24,BKDOWTLG5,RGSP,3.85,3.85,3.85,3.85,1009,3884.65
2026-07-24,BKDOWTLG6,RGSP,33.32,33.32,32.8,33.16,272,9040.92
2026-07-24,BKDOWTLH2,RGSP,29.92,30.32,29.18,29.83,31688,942580.64
2026-07-24,BKDOWTSG7,RGSP,2.6,2.64,2.59,2.62,31343,82207.6
2026-07-24,BKDOWTSG8,RGSP,15.0,15.65,14.7,15.65,16375,244768.69
2026-07-24,BKDOWTSG9,RGSP,10.91,11.58,10.42,10.76,49374,535103.0
2026-07-24,BKWTITL11,RGSP,5.69,5.69,5.69,5.69,4,22.76
2026-07-24,BKWTITL14,RGSP,23.15,23.22,23.15,23.22,138,3203.66
2026-07-24,BKWTITL25,RGSP,5.06,5.06,4.95,4.95,1328,6588.15
2026-07-24,BKWTITL30,RGSP,20.77,20.77,20.31,20.43,2069,42387.45
2026-07-24,BKWTITL32,RGSP,2.88,2.88,2.74,2.81,3540,9937.5
2026-07-24,BKWTITS42,RGSP,3.86,4.0,3.86,3.95,50675,201128.0
2026-07-24,BKWTITS43,RGSP,14.86,15.55,14.8,15.35,58242,889752.26
2026-07-24,BMW,XRSI,302.9,303.2,300.2,301.2,69,20799.4
2026-07-24,BNET,REGS,0.101,0.103,0.1005,0.1025,198511,19986.487
2026-07-24,BNET27A,ORDB,99.39,99.81,99.39,99.81,53,5325.87
2026-07-24,BNET28,ORDB,96.92,96.92,96.92,96.92,26,2549.74
2026-07-24,BNET28A,ORDB,95.59,95.6,95.59,95.6,102,9776.19
2026-07-24,BRCR,XRS1,0.3,0.3,0.3,0.3,430,129.0
2026-07-24,BRD,REGS,37.2,37.5,36.8,36.9,58822,2192164.5
2026-07-24,BRK,REGS,0.143,0.144,0.135,0.1395,946944,133526.756
